Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
927.9465,47.03583,27.787214,58.646996,1.454556,175.52165,85.76144,455.7925,63.916046,93.724945,45.099545,37.12256
879.9599,46.0752,27.494196,102.68241,1.2160586,158.66994,81.49548,420.78458,62.331966,87.6924,44.14465,37.11435
834.4745,45.18018,27.216457,95.21631,0.9968255,142.58412,77.55206,387.8259,60.84018,82.01384,43.25365,37.10648
791.3598,44.346275,26.953203,88.28503,0.7953007,127.22949,73.906815,356.79633,59.435303,76.66848,42.422283,37.098934
750.4923,43.569332,26.703676,81.85025,0.61005396,112.57278,70.53717,327.58304,58.112278,71.63678,41.646545,37.0917
711.7549,42.845444,26.467163,75.87641,0.4397704,141.66011,67.4223,300.0797,56.866333,66.90033,40.922714,37.08477
675.0365,92.63097,26.242981,70.33049,0.28324115,126.34749,64.54295,274.18625,55.692978,100.47595,40.247326,37.07812
640.23193,88.556435,26.030493,65.18184,0.13935544,111.73083,86.55324,249.80844,54.587986,94.04728,39.617134,37.07175
607.24146,84.760185,25.829082,60.401997,0.007092049,97.77855,82.22742,226.85753,53.54737,87.995834,39.02911,37.06564
575.97046,81.2232,25.638178,55.96455,-0.114488035,154.8012,78.22866,205.25006,52.567383,82.29947,38.48044,37.059784
546.32935,77.92776,25.457228,51.84497,-0.22624753,138.89124,74.53225,415.47122,51.644493,76.937355,37.968483,37.054173
518.2332,74.85738,25.285713,48.02049,-0.3289798,218.79701,71.115326,459.66928,50.775368,71.88987,37.490784,37.04879
491.60147,71.996704,25.123142,44.469963,-0.423414,199.97827,67.95674,424.43445,49.95688,67.13857,51.47009,37.04363
466.3578,69.33139,24.969051,41.17377,-0.51022035,182.0149,65.03699,391.26205,49.18608,62.666058,84.20454,37.038685
442.42984,66.8481,24.822994,61.807934,-0.590015,167.00545,62.337982,360.0314,48.460186,58.45598,80.6328,37.033943
419.74905,64.5344,24.684553,57.26978,-0.66336435,150.54076,59.84305,330.62875,47.776585,54.492943,77.30008,37.029396
398.25043,62.37872,24.553333,53.0567,-0.73078895,134.82448,57.53676,302.94717,47.13281,50.762447,74.19038,37.02504
377.87234,71.79832,24.428955,49.14542,-0.7927674,252.65312,55.40484,447.1892,46.526543,47.250847,71.28877,37.020863
358.5564,69.14655,24.311064,45.514313,-0.8497396,232.29555,53.434113,412.68494,45.955597,43.9453,68.58134,37.016857
340.24722,66.67589,24.19932,42.14331,-0.90211,212.86325,51.612392,380.20032,45.417915,40.833717,66.055084,37.01302
322.89233,64.373955,24.093403,39.013783,-0.95025015,194.31421,49.92841,349.61713,44.91156,37.904713,63.806892,37.00934
306.44202,62.22923,23.99301,36.108433,-0.9945019,176.60829,48.37175,320.82407,44.434704,167.2376,61.600136,37.00581
290.8491,60.230976,23.89785,33.411198,-1.0351791,159.70712,46.932793,293.71637,43.98563,156.89151,59.541042,37.002426
276.0689,58.369194,23.807655,30.907175,-1.0725709,143.5742,45.60263,268.1954,43.56272,160.71483,57.619747,36.999184
262.05905,56.63456,23.722162,28.582521,-1.1069423,128.17455,44.37304,244.16827,43.16445,150.75148,55.82702,36.99608
248.77946,55.01839,23.641129,26.424389,-1.1385373,113.47489,43.236416,221.54752,42.789383,141.37276,54.154263,36.993095
236.192,53.512596,76.49116,24.420849,-1.1675804,101.702614,42.185734,445.06342,42.43617,132.54436,52.593437,36.990242
224.2606,52.109646,73.658325,22.560827,-1.1942775,88.206154,41.214493,410.68353,42.103535,124.23399,51.137066,36.987503
212.9511,50.8025,70.97322,20.834045,-1.2188182,75.32315,40.31668,378.316,41.79028,116.411255,49.77815,36.98488
202.23105,49.58463,68.42814,19.230957,-1.2413765,161.02487,39.486755,347.84314,41.495274,109.04754,48.510166,36.98236
192.06975,83.29841,66.01578,17.742702,-1.2621127,144.83205,38.71958,319.15393,41.217453,102.115906,47.327038,36.979946
182.43806,79.86126,63.729218,76.867195,-1.2811742,129.3752,38.01041,292.144,40.955822,95.59102,46.223083,60.44554
173.3084,76.65883,61.561897,71.250305,-1.2986958,114.62097,37.354862,266.71506,40.709435,89.44898,45.192997,59.473007
164.65459,73.675125,59.5076,66.03577,-1.3148022,100.53734,36.748875,242.77455,40.477398,83.66734,44.23185,58.54068
156.45183,75.20921,57.560425,61.194756,-1.3296076,87.09388,36.18871,220.23538,40.258884,78.22496,43.33502,57.646904
148.6766,72.3245,55.71479,72.87638,-1.3432171,74.261444,35.670895,386.50522,40.0531,73.10193,42.4982,56.790077
141.30664,69.6368,53.96541,194.62576,-1.3557273,124.26221,35.192234,355.55295,39.859303,68.27951,41.717384,55.96868
134.3208,67.13265,52.30725,180.57352,-1.3672271,109.74036,34.749763,326.41245,39.6768,63.740047,40.98882,55.18125
127.69907,64.79953,50.735558,167.52786,-1.3777978,95.87856,34.340748,324.90775,39.50493,59.466953,40.309006,54.426373
121.42248,62.62574,49.24583,155.41672,-1.387515,130.56972,33.962654,322.46774,74.163345,55.444595,39.674683,57.60202
115.47303,60.600407,47.833786,144.17311,-1.3964471,116.97602,33.61315,295.26385,71.98224,51.658257,39.08281,195.80057
109.83367,58.713398,46.49538,133.73492,-1.4046576,102.78535,33.290073,269.65228,69.92822,48.094093,38.530544,269.30368
104.48824,56.955254,45.22677,124.04446,-1.4122051,89.23967,32.991425,245.53987,67.993866,44.739067,38.015236,259.69556
99.421425,55.317184,44.024315,115.048134,-1.4191428,76.30971,32.715355,222.83884,66.17221,41.580906,37.534412,293.51474
94.6187,53.79099,42.884563,106.69624,-1.4255202,63.967476,32.460155,201.46658,110.76573,141.93817,37.08576,282.90555
90.0663,52.369015,41.80425,98.94262,-1.4313824,52.186203,32.224255,327.2347,106.45213,133.0766,36.66713,272.73505
85.751175,51.044163,40.78027,91.74441,-1.4367713,40.940434,32.00619,299.75177,102.389854,124.73501,36.27652,312.7359
81.66096,49.809788,39.809692,85.06182,-1.4417248,30.20581,31.804613,273.8775,98.56425,116.882866,35.912045,301.332
77.78393,48.659714,38.889725,78.857925,-1.4462781,19.959112,138.67274,249.51778,94.961525,109.49148,35.571964,290.3996
74.10898,47.58818,38.01773,73.098434,-1.4504637,10.178149,130.40622,226.58391,91.5687,102.5338,35.25464,279.91922
